ID,Label,X,Y,E,100,150,200
0,AA,586173.2314,3207263.405,2154.0,66.93402310254413,93.21239330974386,121.02554059951134
1,AA,586171.9024,3207258.741,2158.0,66.47428872698534,93.173040192303,121.21471011672269
2,AA,586176.43,3207252.57,2162.0,66.2206621610899,93.21739846629562,120.48017445301078
3,AA,586176.4308,3207252.459,2162.0,66.21350788825835,93.19999844971369,120.60502616773462
4,AA,586169.9749,3207229.917,2163.0,67.35353855851137,92.86456808954982,122.37237810074124
5,AA,586159.5266,3207259.202,2164.0,65.92732549997197,91.1387959612317,123.09846296148008
6,AA,586156.4226,3207257.406,2166.0,65.53020095790252,90.81945031584249,122.95053009026057
7,AA,586151.9871,3207251.279,2166.0,66.60798519025259,90.4958872395727,124.61875872992961
8,AA,586157.2558,3207250.21,2167.0,66.00525630884651,91.79033310923167,123.75206211295071
9,AA,586156.7102,3207244.998,2168.0,67.24242861426423,91.29440224312378,124.47502983520452
10,AA,586147.7215,3207248.477,2168.0,66.63888751666168,90.80801699144257,125.66847623699805
11,AA,586129.177,3207253.103,2164.0,66.13997525379256,92.15571204399828,128.51761701255515
12,AA,586122.2589,3207253.273,2165.0,65.78654553779997,94.28677319698886,129.60648741254792
13,AA,586136.0955,3207239.858,2165.0,65.29073247436813,93.82277288720974,128.3108311360982
14,AA,586148.653,3207241.171,2169.0,66.00744102765533,91.09553433627116,126.31151762822152
15,AA,586190.8358,3207254.229,2173.0,65.2233118337671,94.55223455923192,118.2785176624876
16,AA,586175.8587,3207276.832,2170.0,66.17067195372643,92.73293556282916,118.58717402302483
17,AA,586189.7331,3207271.395,2168.0,63.867912617529925,93.03842872646396,114.72794360052073
18,AA,586192.2675,3207271.193,2169.0,63.760473373397886,92.97993410104048,114.79323623238304
19,AA,586188.9737,3207268.73,2168.0,63.75260587736469,92.6373729338962,116.07666159870723
20,AA,586210.6036,3207255.374,2175.0,64.40676972609204,93.70593717657945,114.9666412539224
21,AA,586221.7313,3207252.466,2177.0,65.00926415263801,92.1486055678359,114.3325666648646
22,AA,586231.5413,3207230.378,2180.0,67.55890127951382,94.26886754033953,113.20002077555334
23,AA,586240.4216,3207215.375,2181.0,68.52750590876752,95.57657775572662,111.92215093784199
24,AA,586230.7583,3207217.851,2178.0,67.51235976715493,95.56128680411607,112.85932547726514
25,AA,586209.1267,3207231.429,2177.0,67.75370026099235,94.9817676677536,114.61809352573486
26,AA,586212.2493,3207243.752,2176.0,65.28355843171106,93.74310722918008,114.62787921293456
27,AA,586207.774,3207242.943,2176.0,65.49712137738436,93.28431210888797,114.76295050752893
28,AA,586205.6628,3207251.681,2175.0,65.50404221411381,93.71940049191153,114.94074413585355
29,AA,586202.8834,3207245.566,2174.0,64.88798438775702,93.62651793805097,115.7646402384658
30,AA,586195.5155,3207240.746,2174.0,66.42611357452257,93.7883526784131,118.0217368179
31,AA,586195.0649,3207235.867,2174.0,66.96562795300771,93.48233480706574,117.76049654070253
32,AA,586188.6844,3207229.282,2172.0,66.32128551923422,93.89800991054712,118.43243547569477
33,AA,586192.923,3207222.665,2171.0,67.30118122362059,94.82909287978696,118.05151404233514
34,AA,586185.1481,3207220.169,2170.0,66.47824417844025,95.44224139140697,119.59009853117588
35,AA,586157.9717,3207219.634,2167.0,65.10170192129314,92.51475922434096,124.82945892626091
36,AA,586158.2478,3207286.894,2170.0,66.1102660776742,93.3328397882996,121.28374974835361
37,AA,586158.7829,3207280.471,2170.0,66.31294240170683,92.21606247864649,120.69343821679671
38,AA,586139.416,3207290.853,2168.0,66.66187194871118,93.50569827281709,125.95047682232946
39,AA,586133.6512,3207293.137,2168.0,67.112998722196,93.7868294848892,128.15847244398117
40,AA,586132.5879,3207292.021,2167.0,67.20725815650145,94.04670361207286,128.54547641896755
41,AA,586105.1906,3207255.915,2163.0,65.23754702227046,97.6322639828719,129.32961408961285
42,AA,586092.6817,3207261.14,2162.0,64.26597315012887,100.7961596084751,129.59899264189423
43,AA,586101.4607,3207285.694,2162.0,65.69557037732702,97.30918111303383,130.70652619988348
